Region Label,Tini_curvature,Inclusion flag,n,ga_min,ga_max,a,amplitude,k,Tini_radiality,SE_Tini_radiality,CI_width_radiality,R2_radiality,p_fit_radiality,p_Tini_radiality,converged,q_fit_radiality,q_Tini_radiality,primary_radiality_pass,strict_radiality_pass,joint_primary_pass,joint_strict_pass,delta_weeks
Cuneus_R,29.3492515830195,1,93,22.571428571428573,38.285714285714285,0.7490584770427474,-0.25355999116471883,0.35470011598399376,26.25136642555428,0.536636334398894,2.1036144308436646,0.8951539632521481,1.8678383074060553e-43,4.1012051447079643e-66,True,7.284569398883617e-43,8.094483838239403e-66,True,True,True,True,3.097885157465221
Lingual_L,29.972854672587,1,93,22.571428571428573,38.285714285714285,0.6639379221134621,-0.20420305958918866,0.23779556588670936,24.900555777947233,0.9639094288202986,3.7785249609755707,0.8985108356944154,4.3978762130279383e-44,3.958966912436917e-43,True,1.805443919032522e-43,5.2091669900485746e-43,True,True,True,True,5.0722988946397685
Lingual_R,29.3012537356415,1,93,22.571428571428573,38.285714285714285,0.641698423722262,-0.16401872000294684,0.3529566215597294,26.410422471425637,0.6007846948529343,2.3550760038235024,0.8696861920587592,2.9358692583022004e-39,3.8127133203260296e-62,True,8.8076077749066e-39,6.354522200543383e-62,True,True,True,True,2.890831264215862
Occipital_Sup_L,27.2758001839388,1,93,22.571428571428573,38.285714285714285,0.7576610851939719,-0.2706487066227263,0.5915933402250937,27.556811714002112,0.34826301182901664,1.3651910063697452,0.8989042878983579,3.7005552309969303e-44,2.840975313097993e-84,True,1.6923364661106735e-43,1.331707178014684e-83,True,True,True,True,-0.2810115300633136
Occipital_Sup_R,27.6157270610675,1,93,22.571428571428573,38.285714285714285,0.7670849738783309,-0.2768647549901641,0.6038014114564004,27.905026145586582,0.2899196116282028,1.136484877582555,0.926344414411595,2.848957330431627e-50,9.291877727005493e-92,True,2.222186717736669e-49,6.335371177503746e-91,True,True,True,True,-0.28929908451908304
Occipital_Mid_L,28.26747263618,1,93,22.571428571428573,38.285714285714285,0.7983074316479322,-0.2929653837326331,0.5956099896532241,28.372045613917205,0.26379358501359096,1.0340708532532765,0.9372436491062384,2.3029261190923325e-53,5.159835622811468e-96,True,8.490080783568395e-52,4.299863019009557e-95,True,True,True,True,-0.10457297773720597
Occipital_Mid_R,28.9164598270938,1,93,22.571428571428573,38.285714285714285,0.8070514533166568,-0.30404381415755244,0.707050370472274,28.7331481678996,0.23727517000541254,0.9301186664212171,0.9364803495842687,3.9423099636640796e-53,1.444025951321652e-100,True,8.490080783568395e-52,2.1660389269824776e-99,True,True,True,True,0.18331165919419945
Occipital_Inf_L,28.8403861793,1,93,22.571428571428573,38.285714285714285,0.766676286393229,-0.25959271411946605,0.7591752445867874,29.084912075332564,0.2206658456012565,0.8650101147569255,0.9363383404833945,4.353887581317126e-53,7.983732771683645e-104,True,8.490080783568395e-52,2.257887698218524e-102,True,True,True,True,-0.24452589603256314
Occipital_Inf_R,28.7513516220955,1,93,22.571428571428573,38.285714285714285,0.7708223948154374,-0.2614055981509984,0.8463421963392475,29.196041091229066,0.2218176701242365,0.869525266887007,0.927173682143589,1.7220837726713563e-50,9.031550792874096e-104,True,1.492472602981842e-49,2.257887698218524e-102,True,True,True,True,-0.4446894691335679
Fusiform_L,28.1662339896927,1,93,22.571428571428573,38.285714285714285,0.6106372377107178,-0.10785406322247261,0.624009082119285,30.533621244170373,0.5373523029909538,2.1064210277245388,0.7742988909764625,1.1438153637829836e-28,1.0044733854151651e-71,True,2.074827869187738e-28,2.3542344970667933e-71,True,True,True,True,-2.3673872544776735
